Area,Item,Tonnes,Item,Tonnes
China,Bananas,13324337,Bananas,330946
"China, mainland",Bananas,13066778,Bananas,298081
"China, Taiwan Province of",Bananas,257559,Bananas,4695
Colombia,Bananas,2043668,Bananas,311087
Comoros,Bananas,44633,Bananas,26201
Congo,Bananas,81056,Bananas,1079781
Cook Islands,Bananas,27,Bananas,6529676
Costa Rica,Bananas,2409543,Bananas,1341478
C??te d'Ivoire,Bananas,330946,Bananas,
Cuba,Bananas,298081,Bananas,29721
Cyprus,Bananas,4695,Bananas,538302
Democratic Republic of the Congo,Bananas,311087,Bananas,3728
Dominica,Bananas,26201,Bananas,9095
Dominican Republic,Bananas,1079781,Bananas,213
Ecuador,Bananas,6529676,Bananas,17682
Egypt,Bananas,1341478,Bananas,87505
El Salvador,Bananas,,Bananas,3453
Equatorial Guinea,Bananas,29721,Bananas,2857
Ethiopia,Bananas,538302,Bananas,53746
Fiji,Bananas,3728,Bananas,354
French Guiana,Bananas,9095,Bananas,3775150
French Polynesia,Bananas,213,Bananas,212874
Gabon,Bananas,17682,Bananas,7058
Ghana,Bananas,87505,Bananas,13678
Greece,Bananas,3453,Bananas,264528
Grenada,Bananas,2857,Bananas,707120
Guadeloupe,Bananas,53746,Bananas,29124000
Guam,Bananas,354,Bananas,7007125
Guatemala,Bananas,3775150,Bananas,129687
Guinea,Bananas,212874,Bananas,136000
Guinea-Bissau,Bananas,7058,Bananas,354
Guyana,Bananas,13678,Bananas,52215
Haiti,Bananas,264528,Bananas,32
Honduras,Bananas,707120,Bananas,40857
India,Bananas,29124000,Bananas,1288588
Indonesia,Bananas,7007125,Bananas,7654
Iran (Islamic Republic of),Bananas,129687,Bananas,
Israel,Bananas,136000,Bananas,796200
Italy,Bananas,354,Bananas,93143
Jamaica,Bananas,52215,Bananas,138455
Japan,Bananas,32,Bananas,
Jordan,Bananas,40857,Bananas,373896
Kenya,Bananas,1288588,Bananas,441797
Kiribati,Bananas,7654,Bananas,309508
Kuwait,Bananas,,Bananas,1828
Lao People's Democratic Republic,Bananas,796200,Bananas,163871
Lebanon,Bananas,93143,Bananas,194067
Liberia,Bananas,138455,Bananas,7731
Libya,Bananas,,Bananas,2384778
Madagascar,Bananas,373896,Bananas,2034
Malawi,Bananas,441797,Bananas,191
Malaysia,Bananas,309508,Bananas,333820
Maldives,Bananas,1828,Bananas,517500
Mali,Bananas,163871,Bananas,236195
Martinique,Bananas,194067,Bananas,1169
Mauritius,Bananas,7731,Bananas,106437
Mexico,Bananas,2384778,Bananas,83
Micronesia (Federated States of),Bananas,2034,Bananas,2939
Montserrat,Bananas,191,Bananas,16578
Morocco,Bananas,333820,Bananas,128171
Mozambique,Bananas,517500,Bananas,258891
Nepal,Bananas,236195,Bananas,1224553
New Caledonia,Bananas,1169,Bananas,71870
Nicaragua,Bananas,106437,Bananas,343203
Niue,Bananas,83,Bananas,5829142
Occupied Palestinian Territory,Bananas,2939,Bananas,26224
Oman,Bananas,16578,Bananas,76318
Pakistan,Bananas,128171,Bananas,10516
Panama,Bananas,258891,Bananas,3037962
Papua New Guinea,Bananas,1224553,Bananas,3544
Paraguay,Bananas,71870,Bananas,59109
Peru,Bananas,343203,Bananas,22734
Philippines,Bananas,5829142,Bananas,44079
Portugal,Bananas,26224,Bananas,37863
Puerto Rico,Bananas,76318,Bananas,1955
R??union,Bananas,10516,Bananas,
Rwanda,Bananas,3037962,Bananas,317
Saint Lucia,Bananas,3544,Bananas,21785
Saint Vincent and the Grenadines,Bananas,59109,Bananas,310117
Samoa,Bananas,22734,Bananas,378120
Sao Tome and Principe,Bananas,44079,Bananas,910110
Senegal,Bananas,37863,Bananas,61073
Seychelles,Bananas,1955,Bananas,6217
Singapore,Bananas,,Bananas,120
Solomon Islands,Bananas,317,Bananas,1075251
Somalia,Bananas,21785,Bananas,570
South Africa,Bananas,310117,Bananas,26440
Spain,Bananas,378120,Bananas,16
Sudan,Bananas,910110,Bananas,805
Suriname,Bananas,61073,Bananas,3263
Swaziland,Bananas,6217,Bananas,305926
